,Name,Elo,GXE,Glicko-1,usernames,ladder_url,Unnamed: 5
11132,NFETER hello,1126,(more games needed),(more games needed),nfeterhello,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11133,NFETER adjust,1126,68.0%,1646 ± 90,nfeteradjust,https://pokemonshowdown.com/ladder/gen9nfe,
11134,Vazquez 2.0,1126,(more games needed),(more games needed),vazquez20,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11135,Rafudia,1125,(more games needed),(more games needed),rafudia,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11136,NFET erykah badu,1125,(more games needed),(more games needed),nfeterykahbadu,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11137,We up,1123,(more games needed),(more games needed),weup,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11138,xHys,1123,(more games needed),(more games needed),xhys,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11139,NFETER blob,1122,(more games needed),(more games needed),nfeterblob,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11140,SDK04,1122,(more games needed),(more games needed),sdk04,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11141,Omegaoreole,1122,(more games needed),(more games needed),omegaoreole,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11142,a gamer person,1122,(more games needed),(more games needed),agamerperson,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11143,m709lkjo,1121,(more games needed),(more games needed),m709lkjo,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11144,Wappy.kBs,1121,(more games needed),(more games needed),wappykbs,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11145,King Krabbe,1120,(more games needed),(more games needed),kingkrabbe,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11146,Demilune,1120,(more games needed),(more games needed),demilune,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11147,weaoincbp,1120,(more games needed),(more games needed),weaoincbp,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11148,just.another.snoth,1119,58.7%,1569 ± 99,justanothersnoth,https://pokemonshowdown.com/ladder/gen9nfe,
11149,NFETER Kratos,1119,(more games needed),(more games needed),nfeterkratos,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11150,NFETER Suigetsu,1119,(more games needed),(more games needed),nfetersuigetsu,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11151,stabww raz,1119,(more games needed),(more games needed),stabwwraz,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11152,Alternatif,1119,(more games needed),(more games needed),alternatif,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11153,Piunicoulours,1119,57.4%,1556 ± 53,piunicoulours,https://pokemonshowdown.com/ladder/gen9nfe,
11154,TyHawkins,1118,(more games needed),(more games needed),tyhawkins,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11155,LustfulLice,1118,(more games needed),(more games needed),lustfullice,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11156,WishiMyBaby175,1118,(more games needed),(more games needed),wishimybaby175,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11157,whaud,1118,(more games needed),(more games needed),whaud,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11158,Ronin96,1117,57.1%,1555 ± 84,ronin96,https://pokemonshowdown.com/ladder/gen9nfe,
11159,fluffballs,1117,(more games needed),(more games needed),fluffballs,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11160,NFETER Tech,1117,(more games needed),(more games needed),nfetertech,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11161,thega0,1116,(more games needed),(more games needed),thega0,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11162,Orkodork,1116,(more games needed),(more games needed),orkodork,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11163,NFETER Evelyn,1116,57.5%,1559 ± 98,nfeterevelyn,https://pokemonshowdown.com/ladder/gen9nfe,
11164,Crackbot,1115,(more games needed),(more games needed),crackbot,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11165,RandomDude2105,1115,(more games needed),(more games needed),randomdude2105,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11166,hotgirlviolette,1115,(more games needed),(more games needed),hotgirlviolette,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11167,wants n needs,1114,(more games needed),(more games needed),wantsnneeds,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11168,PichuGurlPMS,1114,(more games needed),(more games needed),pichugurlpms,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11169,CynthiaBlueheart,1113,(more games needed),(more games needed),cynthiablueheart,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11170,mattiman18,1113,(more games needed),(more games needed),mattiman18,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11171,polmpolmpolm,1113,(more games needed),(more games needed),polmpolmpolm,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11172,BattleCrayon29,1112,(more games needed),(more games needed),battlecrayon29,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11173,nfeterrific,1112,(more games needed),(more games needed),nfeterrific,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11174,NFETER otto,1111,(more games needed),(more games needed),nfeterotto,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11175,Scalpereur,1110,(more games needed),(more games needed),scalpereur,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11176,ZaBeztGamer22,1110,(more games needed),(more games needed),zabeztgamer22,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11177,AdamGregory03,1109,(more games needed),(more games needed),adamgregory03,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11178,Acetate Andy,1108,(more games needed),(more games needed),acetateandy,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11179,Slowpokeisagoodmon,1108,(more games needed),(more games needed),slowpokeisagoodmon,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11180,al-my69,1107,49.3%,1495 ± 94,almy69,https://pokemonshowdown.com/ladder/gen9nfe,
11181,moongo,1105,(more games needed),(more games needed),moongo,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11182,SnS_Drift,1105,(more games needed),(more games needed),snsdrift,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11183,webbythesebby,1104,54.4%,1534 ± 85,webbythesebby,https://pokemonshowdown.com/ladder/gen9nfe,
11184,NFETERL,1104,(more games needed),(more games needed),nfeterl,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11185,nfeter swans,1104,(more games needed),(more games needed),nfeterswans,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11186,Hurle Queue,1103,(more games needed),(more games needed),hurlequeue,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11187,spily,1103,(more games needed),(more games needed),spily,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11188,lamjaypy,1103,(more games needed),(more games needed),lamjaypy,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11189,fredgert,1103,(more games needed),(more games needed),fredgert,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11190,Noah Aloha,1102,(more games needed),(more games needed),noahaloha,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11191,DDBTheShapeshifter,1102,(more games needed),(more games needed),ddbtheshapeshifter,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11192,Maitreleplusdurmoi,1102,(more games needed),(more games needed),maitreleplusdurmoi,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11193,FarmerBoy69,1101,(more games needed),(more games needed),farmerboy69,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11194,HectorAEB,1101,48.6%,1489 ± 75,hectoraeb,https://pokemonshowdown.com/ladder/gen9nfe,
11195,N1njaZxr,1101,(more games needed),(more games needed),n1njazxr,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11196,NFETER Lechen,1101,(more games needed),(more games needed),nfeterlechen,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11197,APOGRAPHA,1101,(more games needed),(more games needed),apographa,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11198,JustAFacade,1101,(more games needed),(more games needed),justafacade,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11199,MillionDollarSnek,1100,(more games needed),(more games needed),milliondollarsnek,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11200,24Attk,1100,(more games needed),(more games needed),24attk,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11201,NFETER Mystii,1099,(more games needed),(more games needed),nfetermystii,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11202,BlenderUpMy,1099,(more games needed),(more games needed),blenderupmy,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11203,Nerf_Akali_PLS,1099,(more games needed),(more games needed),nerfakalipls,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11204,NFETER Crystals,1099,(more games needed),(more games needed),nfetercrystals,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11205,Toinoux,1098,(more games needed),(more games needed),toinoux,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11206,MIFTY000,1098,(more games needed),(more games needed),mifty000,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11207,ScepTorBird,1098,(more games needed),(more games needed),sceptorbird,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11208,Elgino,1098,(more games needed),(more games needed),elgino,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11209,Blrrrd,1097,54.5%,1534 ± 79,blrrrd,https://pokemonshowdown.com/ladder/gen9nfe,
11210,300E,1097,(more games needed),(more games needed),300e,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11211,DripLegend,1097,(more games needed),(more games needed),driplegend,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11212,PhalenK,1097,(more games needed),(more games needed),phalenk,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11213,Saul malone,1097,(more games needed),(more games needed),saulmalone,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11214,hotdogsjunior,1097,57.6%,1560 ± 99,hotdogsjunior,https://pokemonshowdown.com/ladder/gen9nfe,
11215,SuperZachattacka,1097,(more games needed),(more games needed),superzachattacka,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11216,TheAbsoluteShaq,1096,(more games needed),(more games needed),theabsoluteshaq,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11217,NFETER Franzi,1096,(more games needed),(more games needed),nfeterfranzi,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11218,Bolsolula3022,1095,(more games needed),(more games needed),bolsolula3022,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11219,JMan1008,1095,52.7%,1521 ± 88,jman1008,https://pokemonshowdown.com/ladder/gen9nfe,
11220,HdNi,1094,55.7%,1545 ± 98,hdni,https://pokemonshowdown.com/ladder/gen9nfe,
11221,RadicalKoala,1094,(more games needed),(more games needed),radicalkoala,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11222,nfeter 447323a 4,1094,(more games needed),(more games needed),nfeter447323a4,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11223,Shings,1094,(more games needed),(more games needed),shings,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11224,Nutstomp.mp4,1094,(more games needed),(more games needed),nutstompmp4,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11225,Noobboy69f,1093,(more games needed),(more games needed),noobboy69f,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11226,magggg,1093,(more games needed),(more games needed),magggg,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11227,sindiareveng,1092,53.7%,1529 ± 98,sindiareveng,https://pokemonshowdown.com/ladder/gen9nfe,
11228,Etoka,1091,(more games needed),(more games needed),etoka,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11229,IbMei,1091,(more games needed),(more games needed),ibmei,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11230,carryt64,1091,(more games needed),(more games needed),carryt64,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11231,aaaaaaa345345,1091,(more games needed),(more games needed),aaaaaaa345345,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11232,Tattered06,1091,(more games needed),(more games needed),tattered06,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11233,nfeter marshmeltoo,1091,(more games needed),(more games needed),nfetermarshmeltoo,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11234,whitebeard solos,1090,(more games needed),(more games needed),whitebeardsolos,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11235,Derppudding404,1090,(more games needed),(more games needed),derppudding404,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11236,Mr monke man69,1090,(more games needed),(more games needed),mrmonkeman69,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11237,PatrickZ28338,1090,(more games needed),(more games needed),patrickz28338,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11238,BBQSwizzle1906,1090,50.0%,1500 ± 100,bbqswizzle1906,https://pokemonshowdown.com/ladder/gen9nfe,
11239,bad nfe teams,1089,(more games needed),(more games needed),badnfeteams,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11240,brubobn,1089,(more games needed),(more games needed),brubobn,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11241,nfeter 447323a 2,1089,(more games needed),(more games needed),nfeter447323a2,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11242,NFETER hie,1089,(more games needed),(more games needed),nfeterhie,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11243,Lv3 OSRS Bot,1088,(more games needed),(more games needed),lv3osrsbot,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11244,ShinyBulbi,1088,(more games needed),(more games needed),shinybulbi,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11245,Gibxon,1088,(more games needed),(more games needed),gibxon,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11246,yonchkrow,1088,(more games needed),(more games needed),yonchkrow,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11247,Drany,1088,(more games needed),(more games needed),drany,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11248,botched arrival,1087,(more games needed),(more games needed),botchedarrival,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11249,latios 77,1087,(more games needed),(more games needed),latios77,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11250,birdsaretotalyreal,1086,(more games needed),(more games needed),birdsaretotalyreal,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11251,NFETER Gigachad,1086,59.7%,1576 ± 79,nfetergigachad,https://pokemonshowdown.com/ladder/gen9nfe,
11252,Kole_E1,1085,(more games needed),(more games needed),kolee1,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11253,ThePerryMason,1085,(more games needed),(more games needed),theperrymason,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11254,StallyJeff,1084,47.6%,1481 ± 98,stallyjeff,https://pokemonshowdown.com/ladder/gen9nfe,
11255,NFETER mi nez,1084,(more games needed),(more games needed),nfeterminez,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11256,Scandal262,1083,(more games needed),(more games needed),scandal262,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11257,NFETER Tessa,1083,(more games needed),(more games needed),nfetertessa,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11258,rekcuskco,1083,(more games needed),(more games needed),rekcuskco,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11259,DRIP-SWAT,1082,(more games needed),(more games needed),dripswat,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11260,simiabrass,1082,(more games needed),(more games needed),simiabrass,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11261,NFE TERRIBLE (is),1082,(more games needed),(more games needed),nfeterribleis,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11262,Lewpick36yt,1082,(more games needed),(more games needed),lewpick36yt,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11263,Code Red CCXX,1082,(more games needed),(more games needed),coderedccxx,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11264,Lord Pix,1082,(more games needed),(more games needed),lordpix,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11265,NFETER patella,1082,(more games needed),(more games needed),nfeterpatella,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11266,Platum,1082,(more games needed),(more games needed),platum,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11267,bendr,1082,46.8%,1475 ± 94,bendr,https://pokemonshowdown.com/ladder/gen9nfe,
11268,wooda524291,1081,(more games needed),(more games needed),wooda524291,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11269,PokemonShwdownBeta,1081,(more games needed),(more games needed),pokemonshwdownbeta,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11270,hhhhhhhfff,1081,(more games needed),(more games needed),hhhhhhhfff,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11271,gen 9 mono poison,1080,(more games needed),(more games needed),gen9monopoison,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11272,Pudimdelimao,1080,(more games needed),(more games needed),pudimdelimao,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11273,Voltypichu,1080,(more games needed),(more games needed),voltypichu,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11274,Radical1233,1080,(more games needed),(more games needed),radical1233,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11275,Pidoof,1080,(more games needed),(more games needed),pidoof,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11276,comradesquidwar,1080,(more games needed),(more games needed),comradesquidwar,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11277,AHailEnthusiast,1079,(more games needed),(more games needed),ahailenthusiast,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11278,NFETER morris,1079,(more games needed),(more games needed),nfetermorris,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11279,Lagia_of_Moga,1079,(more games needed),(more games needed),lagiaofmoga,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11280,Pyukumuku53,1079,(more games needed),(more games needed),pyukumuku53,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11281,OTAKU SUMIDO,1079,(more games needed),(more games needed),otakusumido,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11282,WMAR,1079,(more games needed),(more games needed),wmar,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11283,The Baydogg,1079,(more games needed),(more games needed),thebaydogg,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11284,Creeperking300,1079,(more games needed),(more games needed),creeperking300,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11285,TrulyAtrocious,1078,(more games needed),(more games needed),trulyatrocious,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11286,Aggrometaile,1078,(more games needed),(more games needed),aggrometaile,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11287,Shadowraider64,1078,(more games needed),(more games needed),shadowraider64,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11288,valoche43,1077,(more games needed),(more games needed),valoche43,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11289,Elisplash,1077,(more games needed),(more games needed),elisplash,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11290,hupiukkoja,1077,(more games needed),(more games needed),hupiukkoja,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11291,NFETER les evos la,1077,58.1%,1564 ± 98,nfeterlesevosla,https://pokemonshowdown.com/ladder/gen9nfe,
11292,Kabosoo,1077,46.8%,1475 ± 92,kabosoo,https://pokemonshowdown.com/ladder/gen9nfe,
11293,D3s0cup4d0,1077,(more games needed),(more games needed),d3s0cup4d0,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11294,svou lol,1077,(more games needed),(more games needed),svoulol,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11295,EliLovesPkmn,1077,(more games needed),(more games needed),elilovespkmn,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11296,Ligne de Code,1077,(more games needed),(more games needed),lignedecode,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11297,nfeter marhsmelto,1077,(more games needed),(more games needed),nfetermarhsmelto,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11298,Logan Q.,1076,(more games needed),(more games needed),loganq,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11299,Waadowz,1076,(more games needed),(more games needed),waadowz,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11300,Primeswine,1076,(more games needed),(more games needed),primeswine,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11301,Mr Beast Gaming,1076,(more games needed),(more games needed),mrbeastgaming,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11302,Butterball turkey,1076,(more games needed),(more games needed),butterballturkey,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11303,W47m3110!,1076,(more games needed),(more games needed),w47m3110,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11304,bartei,1075,(more games needed),(more games needed),bartei,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11305,Snickdoodl,1075,(more games needed),(more games needed),snickdoodl,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11306,Rondoudou,1075,(more games needed),(more games needed),rondoudou,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11307,Shadowspoon,1075,(more games needed),(more games needed),shadowspoon,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11308,Raul1601,1075,(more games needed),(more games needed),raul1601,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11309,MeeepMeeepImASheep,1075,(more games needed),(more games needed),meeepmeeepimasheep,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11310,Ixion550,1075,(more games needed),(more games needed),ixion550,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11311,NFETER Arceus,1075,(more games needed),(more games needed),nfeterarceus,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11312,zxgzxg,1075,(more games needed),(more games needed),zxgzxg,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11313,Unlucky95,1074,(more games needed),(more games needed),unlucky95,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11314,ArchenWarrior,1074,(more games needed),(more games needed),archenwarrior,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11315,bearygames,1074,(more games needed),(more games needed),bearygames,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11316,Azeino,1074,(more games needed),(more games needed),azeino,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11317,kohth,1074,(more games needed),(more games needed),kohth,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11318,Hefty chicken,1074,(more games needed),(more games needed),heftychicken,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11319,Diz4Ditto,1074,(more games needed),(more games needed),diz4ditto,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11320,dsfer,1074,(more games needed),(more games needed),dsfer,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11321,Big Big Bidoof,1074,(more games needed),(more games needed),bigbigbidoof,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11322,Hurbhurbhurb,1074,(more games needed),(more games needed),hurbhurbhurb,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11323,deepdeepdeep00,1074,(more games needed),(more games needed),deepdeepdeep00,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11324,jojoswans,1074,(more games needed),(more games needed),jojoswans,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11325,SBPC !,1073,(more games needed),(more games needed),sbpc,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11326,Gibbo86,1073,(more games needed),(more games needed),gibbo86,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11327,Butterfreeguy,1073,(more games needed),(more games needed),butterfreeguy,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11328,Rike971,1073,(more games needed),(more games needed),rike971,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11329,Bandit Babe,1073,(more games needed),(more games needed),banditbabe,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11330,Sheepmancer,1073,(more games needed),(more games needed),sheepmancer,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11331,Dont tell my boss,1073,(more games needed),(more games needed),donttellmyboss,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11332,solarium tree,1073,(more games needed),(more games needed),solariumtree,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11333,MasonLeek,1073,(more games needed),(more games needed),masonleek,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11334,davo2544,1073,(more games needed),(more games needed),davo2544,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11335,nfeter 447323a,1073,(more games needed),(more games needed),nfeter447323a,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11336,just_a_winner,1072,(more games needed),(more games needed),justawinner,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11337,Meikohornet,1072,(more games needed),(more games needed),meikohornet,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11338,testing nfe haha,1072,(more games needed),(more games needed),testingnfehaha,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11339,JoelCG23,1072,(more games needed),(more games needed),joelcg23,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11340,TomatoClaus,1072,(more games needed),(more games needed),tomatoclaus,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11341,parabens marcelo,1072,(more games needed),(more games needed),parabensmarcelo,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11342,SpeedyBlu,1071,(more games needed),(more games needed),speedyblu,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11343,Mythwright,1071,(more games needed),(more games needed),mythwright,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11344,OJHYCRFGVBHGHU,1071,(more games needed),(more games needed),ojhycrfgvbhghu,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11345,Gyagabuh,1071,(more games needed),(more games needed),gyagabuh,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11346,rileymorgann,1071,(more games needed),(more games needed),rileymorgann,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11347,Fmcjyf,1071,(more games needed),(more games needed),fmcjyf,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11348,itschucktime1,1071,(more games needed),(more games needed),itschucktime1,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11349,SitrusPatch,1071,(more games needed),(more games needed),sitruspatch,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11350,AceTitanium,1071,(more games needed),(more games needed),acetitanium,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11351,nfeterrible,1071,(more games needed),(more games needed),nfeterrible,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
11352,raging perfection,1070,(more games needed),(more games needed),ragingperfection,https://pokemonshowdown.com/ladder/gen9nfe,(more games needed)
